Group1: strain_1|MBOGGBJL_00270 strain_1|MBOGGBJL_00480 strain_1|MBOGGBJL_03108 strain_1|MBOGGBJL_03641 strain_1|MBOGGBJL_01180 strain_1|MBOGGBJL_00408 strain_1|MBOGGBJL_03801 strain_1|MBOGGBJL_03173 strain_1|MBOGGBJL_03052 strain_1|MBOGGBJL_00467 strain_1|MBOGGBJL_02937 strain_1|MBOGGBJL_01854 strain_1|MBOGGBJL_00657 strain_1|MBOGGBJL_01998 strain_1|MBOGGBJL_03527 strain_1|MBOGGBJL_03715 strain_1|MBOGGBJL_01980 strain_1|MBOGGBJL_03528 strain_1|MBOGGBJL_01997 strain_1|MBOGGBJL_02828
Group2: strain_1|MBOGGBJL_00606 strain_1|MBOGGBJL_02577 strain_2|NIKFMFAN_03928 strain_2|NIKFMFAN_04079
Group3: strain_1|MBOGGBJL_03996 strain_1|MBOGGBJL_04008 strain_1|MBOGGBJL_04007 strain_2|NIKFMFAN_04061
Group4: strain_2|NIKFMFAN_02317 strain_2|NIKFMFAN_02336 strain_1|MBOGGBJL_03521
Group5: strain_2|NIKFMFAN_03620 strain_2|NIKFMFAN_04136 strain_1|MBOGGBJL_01329
Group6: strain_2|NIKFMFAN_03936 strain_2|NIKFMFAN_04016 strain_1|MBOGGBJL_00598
Group7: strain_1|MBOGGBJL_00576 strain_1|MBOGGBJL_02556 strain_2|NIKFMFAN_02850
Group8: strain_1|MBOGGBJL_00578 strain_1|MBOGGBJL_02558 strain_2|NIKFMFAN_02851
Group9: strain_1|MBOGGBJL_00579 strain_1|MBOGGBJL_02559 strain_2|NIKFMFAN_02852
Group10: strain_1|MBOGGBJL_00586 strain_1|MBOGGBJL_02562 strain_2|NIKFMFAN_02855
Group11: strain_1|MBOGGBJL_00588 strain_1|MBOGGBJL_02565 strain_2|NIKFMFAN_02857
Group12: strain_1|MBOGGBJL_01413 strain_1|MBOGGBJL_01414 strain_2|NIKFMFAN_01580
Group13: strain_1|MBOGGBJL_01893 strain_1|MBOGGBJL_01894 strain_2|NIKFMFAN_03248
Group14: strain_1|MBOGGBJL_02830 strain_1|MBOGGBJL_02833 strain_2|NIKFMFAN_04118
Group15: strain_1|MBOGGBJL_04010 strain_1|MBOGGBJL_04011 strain_2|NIKFMFAN_04058
Group16: strain_1|MBOGGBJL_00611 strain_1|MBOGGBJL_02582 strain_2|NIKFMFAN_04033
Group17: strain_1|MBOGGBJL_00407 strain_2|NIKFMFAN_01223 strain_1|MBOGGBJL_00409
Group18: strain_1|MBOGGBJL_02849 strain_2|NIKFMFAN_02989 strain_2|NIKFMFAN_02988
Group19: strain_2|NIKFMFAN_03939 strain_2|NIKFMFAN_04018
Group20: strain_1|MBOGGBJL_00590 strain_1|MBOGGBJL_02567
Group21: strain_1|MBOGGBJL_03887 strain_1|MBOGGBJL_03927
Group22: strain_1|MBOGGBJL_00577 strain_1|MBOGGBJL_02557
Group23: strain_1|MBOGGBJL_00595 strain_1|MBOGGBJL_02571
Group24: strain_1|MBOGGBJL_00002 strain_2|NIKFMFAN_03390
Group25: strain_1|MBOGGBJL_00003 strain_2|NIKFMFAN_03389
Group26: strain_1|MBOGGBJL_00004 strain_2|NIKFMFAN_03388
Group27: strain_1|MBOGGBJL_00005 strain_2|NIKFMFAN_03387
Group28: strain_1|MBOGGBJL_00006 strain_2|NIKFMFAN_03386
Group29: strain_1|MBOGGBJL_00007 strain_2|NIKFMFAN_03385
Group30: strain_1|MBOGGBJL_00008 strain_2|NIKFMFAN_03384
Group31: strain_1|MBOGGBJL_00009 strain_2|NIKFMFAN_03383
Group32: strain_1|MBOGGBJL_00010 strain_2|NIKFMFAN_03382
Group33: strain_1|MBOGGBJL_00011 strain_2|NIKFMFAN_03381
Group34: strain_1|MBOGGBJL_00012 strain_2|NIKFMFAN_03380
Group35: strain_1|MBOGGBJL_00013 strain_2|NIKFMFAN_03378
Group36: strain_1|MBOGGBJL_00014 strain_2|NIKFMFAN_03377
Group37: strain_1|MBOGGBJL_00015 strain_2|NIKFMFAN_03376
Group38: strain_1|MBOGGBJL_00016 strain_2|NIKFMFAN_03375
Group39: strain_1|MBOGGBJL_00017 strain_2|NIKFMFAN_03374
Group40: strain_1|MBOGGBJL_00018 strain_2|NIKFMFAN_03373
Group41: strain_1|MBOGGBJL_00019 strain_2|NIKFMFAN_03372
Group42: strain_1|MBOGGBJL_00020 strain_2|NIKFMFAN_03371
Group43: strain_1|MBOGGBJL_00021 strain_2|NIKFMFAN_03370
Group44: strain_1|MBOGGBJL_00022 strain_2|NIKFMFAN_03369
Group45: strain_1|MBOGGBJL_00023 strain_2|NIKFMFAN_03368
Group46: strain_1|MBOGGBJL_00024 strain_2|NIKFMFAN_03367
Group47: strain_1|MBOGGBJL_00025 strain_2|NIKFMFAN_03366
Group48: strain_1|MBOGGBJL_00026 strain_2|NIKFMFAN_03365
Group49: strain_1|MBOGGBJL_00027 strain_2|NIKFMFAN_03364
Group50: strain_1|MBOGGBJL_00028 strain_2|NIKFMFAN_03363
Group51: strain_1|MBOGGBJL_00029 strain_2|NIKFMFAN_03362
Group52: strain_1|MBOGGBJL_00030 strain_2|NIKFMFAN_03361
Group53: strain_1|MBOGGBJL_00031 strain_2|NIKFMFAN_03360
Group54: strain_1|MBOGGBJL_00032 strain_2|NIKFMFAN_03359
